"xaknemilch ","Milch und Akne. Es gibt einen Zusammenhang. In der Tiermilch sind Wachstumhorone enthalten. Man weiß, dass vor allem diese Hormone, wenn sie zu reichhaltig vorkommen, zu Akne führen können. Zudem haben verschiedene Milchprodukte einen hohen glykmäischen Index (http://bit.ly/2q5wr4g) und zählen somit generell zu den Entzündungsförderern. So kann es natürlich auch Schubauslöser bei Ai sein. Mannigfaltige Studien untermauern diese Theorie:

Artikel von PETA inkl. Quellenangaben: 
http://www.peta.de/milchundakne#.WRQWWxOLRTY

Video von Dr. med. Bracht: https://www.youtube.com/watch?v=m9cYSd-ZbWY

Video von Prof. Dr. Veith:
http://akne-inversa.org/drveith

Infos zum glykämischen Index (GI) und glykämische Last (GL):
Video GI: https://www.youtube.com/watch?v=qhhCGzUfZtoGlykämischer Index: http://bit.ly/2q5C0Ql
Glykäische Last: http://bit.ly/2q5NzHg
Ernährung bei Rheuma: http://bit.ly/2q5EhuG
","Akne und Milch"
"xerdnüsse","Erdnüsse haben einiges an Histamin (http://flexikon.doccheck.com/de/Histamin). Darauf reagieren manche Ai-Betroffene. Hier weitere Infos dazu: 
http://www.gartenjournal.net/erdnuss-histamin
http://www.burnout-behandlung-berlin.de/neuer-beitrag-bei-taramax","Erdnüsse-Histamin"
"xfasten","Wie kann man das Immunsystem erneuern? Durch Fasten. 
Der Forscher Professor Valter Longo erforschte die Wirkung des merhtägigen Fastens auf das Immunsystem uns stellte fest, dass, wenn man hungert, das System versucht Energie zu sparen. Eines dieser Dinge, die das System tun kann um Energie zu sparen, ist eine Menge Immunzellen, die nicht benötigt werden, zu recyclen; also zu erneuern. Vor allem gilt dies für solche, die beschädigt sind. Es wurder ferner festgestellt, ist, dass sowohl in unserer menschlichen Funktion, als auch beim Tier, die Anzahl der weißen Blutkörperchen sinkt. Wenn man dann wieder zu essen beginnt, kommen die Zellen wieder. Insbesondere hilft längeres Fasten die Mengen eines Enzyms, als PKA oder Proteinkinase A bekannt, zu reduzieren. Auch die IGF-1 Mengen werden verringert. Ein Wachstumsfaktor-Hormon.

Quelle: http://www.sciencedirect.com/science/article/pii/S1934590914001519

Info über Prof. Longo:
Biogerontologie und Zellbiologie an der Davis School of Gerontology (University of Southern California, USA). Direktor des Longevity Institute in Los Angeles (USA). Studium Biochemie und Jazz Performance (University of North Texas, USC und UCLA). Teil des Teams von „Kalorienrestriktions-Pionier“ Roy Walford an der UCLA.

Ein Video von Herrn Prof. Valter Longo: http://2013.fasten.tv/de/vortraege/longo

Wer sich für das Thema interessiert, sollte sich die Videos dieses Fastenkongresses ansehen: http://2013.fasten.tv/de/","Fasten"
"xkh","Der Mythos der Dickmacher: Kohlenhydrate (KH)
KH werden von unserem Körper nicht in Fett umgewandelt. Der Weg ist folgender: Die KH werden im Mund und im Verdauungstrakt unter anderem mittels des Enzyms Amylase (http://flexikon.doccheck.com/de/Amylase) zu Glukose aufgespalten, welche dann über unsere Blutbahn in Billiarden von Zellen gelangt und dort in einem Prozess namens Glykolyse (http://flexikon.doccheck.com/de/Glykolyse) in “Energie"" umgewandelt wird. Hat unser Körper den Energiebedarf gedeckt, werden die KH in Form von Glykogen (http://flexikon.doccheck.com/de/Glykogen) in den Muskelzellen, Nieren, Gehirn und in der Leber, bei Frauen auch im Uterus und in der Vagina gespeichert. Wir können bis knapp einen Kilo an Glykogen speichern. Sind diese Speicher voll und wir nehmen immer noch KH auf, werden diese einfach durch jegliche Form von Bewegung in Körperwärme verbrannt. Dazu reicht die geringste Form von Bewegung. Oft hört man z.B. Reißer wie: “Durch küssen Kalorien verbrennen”. Unser Körper kann KH nur sehr schwer in Fette umwandeln. Unter normalen Bedingungen tut er es sogar gar nicht. Den Prozess der Umwandlung von KH in Fett nennt man De-novo-Lipogenese (DNL).

Quellen:
https://www.ncbi.nlm.nih.gov/pubmed/10365981
https://www.ncbi.nlm.nih.gov/pubmed/3165600
https://www.ncbi.nlm.nih.gov/pubmed/12972680
https://www.ncbi.nlm.nih.gov/pubmed/11722954
https://www.ncbi.nlm.nih.gov/pubmed/11126336
https://www.ncbi.nlm.nih.gov/pubmed/3993620

Eine Studie mit 50 adipösen und schlanken Frauen hat gezeigt, dass Diese, trotz der erhöhten Zuführ von 50% mehr Kalorien und 90 g raffinierten Zuckers, pro Tag weniger als 4 g Fett einlagerten. Um also knapp 500 g an Fett zuzunehmen, müsste man über 4 Monate hinweg 50% mehr Kalorien und Zucker zu sich nehmen. Quelle: http://ajcn.nutrition.org/content/74/6/737

Ein weitere Studie untersuchte 3 Personen indem man sie zunächst auf eine No-Carb Diät setzte um die Kohlenhydratspeicher zu leeren. Danach wurden sie 7 Tage lang mit High Carb (bis zu 86% KH/Tag) ernährt. Während der 7 Tage steigerte man die KH-Einnahme von 400 g auf fast 1000 g, was ungefähr 7 kg Kartofflen entspricht. Die Fett- und Proteineaufnahme blieb konstant niedrig.

Das Ergebnis stellte man in einer Grafik dar [http://edubily.de/wp-content/uploads/2014/06/de-novo-lipogenese.jpg]

Hier noch ein Video über die 7 Mythen und Gefährlichkeit der Ketogenen (Low-Carb) Diät: http://bit.ly/2Ndh5bn


","Kohlenhydrate"
"xmilchinfo","http://www.meine-milch.de/milkipedia/zellzahl Mit Leukozyten (auf dieser Webseite) ist der Eiter gemeint, der ja nichts weiter ist als abgestorbene weisse Blutkörperchen. Leukozyten klingt aber besser als Eiter. Das Ganze nennt sich dann in Verbindung mit noch anderen Zellen (s.Webseite) ""somatischer Zellanteil"" und der darf laut der o.g. Webseite bis zu 400.000 Zellen pro MILLILITER Milch enthalten sein. Wenn der Wert höher liegt, bekommt der ""Bauer"" lediglich weniger Geld, da die Milch minderwertiger ist. Die wird aber dann nicht weggekippt, sondern eben mit ""besserer"" Milch vermischt und in Tetrapacks gefüllt und mit dem Werbeslogan:""Die Milch macht's..."" und ""Das gesunde der Milch..."" verkauft. 

Wenn dich das Thema interessiert kann ich dir das Hörbuch:""The China Study""; gelesen von Christoph Maria Herbst (Stromberg), dass es kostenlos auf Spotify (http://bit.ly/spotifychinastudy) zu hören gibt empfehlen. Dort wird unter Anderem wissenschaftlich erklärt, warum eine vegane Ernährung gesund ist, und warum insbesondere Milch uns krank macht und Krebs, Osteoporose, Arteriosklerose u.v.m verursacht.","Informationen über Milch"
"xveganguide","EIN KLEINER ""WIE WERDE ICH VEGAN"" GUIDE!

1.) Nicht gleich von 0 auf 100% gehen
Lass dir Zeit und übereile nichts. Suche dir vielleicht erstmal ein oder zwei Tage in der Woche an welchen du vegan Essen möchtest. Wenn du dich daran gewöhnt hast und experimentieren konntest, steigere die Anzahl der Tage.

2.) Informiere dich!
Vor dem Umstieg solltest du dich ausreichend über GESUNDEN Veganismus informieren. Setzte dich mit Dingen wie Mangelerscheinungen (Vitamin B12 und -D, Protein) auseinander. Informiere dich über eine ausgeglichene gesunde, rein pflanzliche Ernährung. Du wirst viele neue Dinge finden.

3.) Koch lecker
Es gibt tausende leckere Rezepte da draussen. Du wirst schnell feststellen, dass du weder Fleisch oder Fisch; noch Käse, Milch oder Eier vermisst oder benötigst. Es gibt so viele leckere Alternativen. Damit meine ich nicht Dinge wie Soja- und Seitanschnitzel und/oder -Wurst; sondern Dinge, die dir vorher im Supermarkt nie aufgefallen sind. Du wirst irgendwann selbst anfangen zu experimentieren.

4.) Investiere Arbeit in deine Gesundheit
Versuche so Vieles wie möglich selbst herzustellen: 
- Ziehe Sprossen.
- Pflanze, wenn möglich eigenes Gemüse an.
- Mach deinen eigenen Käse.
- Backe dein eigenes Brot (Keine Fertigbackmischung). 
Dann weisst du immer das es gesund und lecker ist.

5.) Verzichte auf Fertigprodukte
Fertigprodukte, auch wenn sie vegan sind, sind in de Regel nicht gesund. Viel Salz und Zusätze die nicht drin sein müssten. Du wirst schnell merken, dass du diese Dinge nicht benötigst.

6.) Milch- und Sahneersatz
Es gibt zig rein pflanzliche Milchsorten: Sojamilch, Haselnussmilch, Reismilch, Mandelmilch, Keshewmilch, Hafermilch uvm. Sicherlich wird auch für dich etwas dabei sein, was dir schmeckt. Diese Sorten gibt es auch in verschiednen Geschmacksrichtungen wie Schoko, Vanille, Banane usw. Sahne gibt es auch von verschiedenen Firmen rein pflanzlich, entweder in flüssiger Form zum aufschlagen und kochen oder auch als Sprühsahne. Hier ein Beispiel http://schlagfix.com/produkte, du wirst staunen.

7.) Der schnelle Start
Folgende DVD kann ich dir für den Umstieg empfehlen: http://bit.ly/endlichvegan dort sind alle Themen abgedeckt die ich dir eben genannt habe.","Schnell vegan werden"
"xamzvitd3","Vitamin-D3 Tabletten:
20.000 I.E.: http://amzn.to/2puWBd9
50.000 I.E.: http://amzn.to/2r0qggx
Beides vegan, ohne künstliche Füllstoffe.

Dazu aber auch gleich noch Vitamin-K2 nehmen: http://amzn.to/2r0pTSU

Wenn der D3 Spiegel sich wieder normalisiert, wird auch wieder mehr Kalzium über den Darm aufgenommen, was aufgrund des Vitamin-D3 Mangels nicht der Fall ist. Darum sollte man Vitamin-K2 dazu nehmen. Denn dieses Vitamin sorgt nun dafür, dass das Kalzium dort “eingebaut” wird, wo es auch hingehört -in die Knochen und Zähne. Auf keinen Fall sollte man zusätzliche Kalzium nehmen, denn sonst besteht die Gefahr einer Hyperkalzämie (http://flexikon.doccheck.com/de/Hyperkalz%C3%A4mie).","Amazon Vitamin D3"
"xbv","Hier ein ""wenig"" was zu den Themen gesunde Ernährung:

Rezepte bekommst du massig auf Facebook und im Netz
http://www.vegane-links.net
http://bit.ly/1tuflZ1. 
http://bit.ly/2rMZsCF
%snippet:xveganbücher%

Derzeit die beste DVD zum Thema: Endlich Vegan von Rohe Energie
http://bit.ly/endlichvegan

Infoseiten:
http://www.vegane-links.net
http://de.wikipedia.org/wiki/Veganismus
http://www.veganstart.de
https://www.vebu.de
http://www.provegan.info
http://www.veganismus.de
http://www.vegan.eu
http://www.peta.de/warumvegan
http://michlgoesvegan.de/wissenswertes-2

Facebook:
https://www.facebook.com/groups/186706974705240
https://www.facebook.com/groups/290385144397096
https://www.facebook.com/groups/243899672426149
https://www.facebook.com/groups/starchsolutiongermany

Youtube-Kanäle:
https://www.youtube.com/user/roheEnergie
https://www.youtube.com/user/michlgoesvegan
https://www.youtube.com/user/semperveganis
https://www.youtube.com/user/carbTheVeganUp
https://www.youtube.com/channel/UCwFAqm1y7zurFXHGTau9SIw
https://www.youtube.com/user/MrAtarac
https://www.youtube.com/user/soldierlady23
https://www.youtube.com/user/NutritionFactsOrg


","Beratung Vegan"
"xb12lüge","Es hält sich immer noch die Lüge, dass Vitamin B12 ausschließlich aus tierischen Quellen zu beziehen ist (insofern man nicht suplimentiert). Hier zwei Studien die das widerlegen: http://1.usa.gov/1M1YyWb & http://1.usa.gov/1M1YVjr","Vitamin B12 Lüge"
"xchinastudy","Kostenloses Hörbuch, China Study auf Spotify: http://bit.ly/1D4KYgl","Hörbuch china study"
"xmilchvo","Milcherzeugnisverordnung (MilchErzV: http://bit.ly/1fAoo7x) und eine Dissertation zum Thema: http://bit.ly/1fApv7c",""
"xpaleo","Wenn man einmal davon ausgeht, dass mit Paleo, das Altsteinzeitliche Paläolithikum gemeint ist, kann man diese Ernährungsweise überhaupt nicht nachvollziehen. Das Paläolithikum begann vor etwa 2 Mio. Jahren und endete etwa 10.000 Jahren (v. Chr.). 

Den Menschen in seiner affenartigen Urform (Ramapithecus) gibt es seit etwa 22 Mio. Jahren und dieser lebte auf Bäumen und war vermutlich ein reiner Pflanzenesser. Erst vor etwa 2,5 Mio. Jahren entwickelte sich der Homo sapiens, welcher mit dem Fleischverzehr begann; überwiegend jedoch pflanzlich lebte (je nach Lebensraum). Denn die Jagt war sehr gefährlich, anstrengend, aufwändig, nur selten aussichtsreich und eher als Luxus anzusehen. Die häufig gefundenen Wand- und Höhlnmalereien, die überwiegend Jagdszenen zeigen, deuten nach Stand der Wissenschaft eher auf den hohen Stellenwert der Jagt im Sinne von Verehrung der mutigen Jäger (die diese oft nicht überlebten) hin. Nicht darauf, dass man viel gejagt hat.

Die in der Paleodiät genutzten Lebensmittel, gab es auch zu Zeiten des Homo sapiens zum Großteil noch nicht und schon gar nicht in der heutigen Form. Der Anbau (Kultivierung) von wilden Pflanzen wie Gemüse und der Gleichen (Ackerbau) begann zudem erst vor etwa 13.000 Jahren. Grundlegende Nahrungsmittel der heutigen Paleodiät standen zu Urzeiten überhaupt noch nicht zur Verfügung denn der Homo sapiens und seine Vorfahren mussten sich auf lokal verfügbare Pflanzen beschränken. Ferner würde es bedeuten, wenn man behauptet die Paleodiät wäre zur heutigen Zeit die gesündeste Ernährungsform, dass der Mensch seit ca. 2,5 Mio. (eigentlich 14 Mio.) Jahren keine evolutionäre Entwicklung durchlebt hat. Hier könnte man sich dann Fragen, wenn der Mensch erst vor ca. 2,5 Mio. Jahren mit dem Fleischverzehr begonnen hat, warum wählt man gerade diese kurze Zeitperiode um sie zur gesündesten zu erklären. Was ist mit den 12,5 Mio. Jahren davor?

# Empfehlung zum Verzehr von Innereien und Organfleisch #
Vor allem im Paleo-AIP (Auto Immun Protokoll) wird der Verzehr von tierischen Innereien und Organfleisch (der Unterschied erschließt sich nicht wirklich) besonders hervorgehoben und propagiert. Das Problem bei dieser Art der Ernährung ist jedoch, dass der Mensch nicht in der Lage ist, bestimmte Stoffe korrekt abzubauen. 

In Innereien und Haut von z.B. Nutztieren ist eine hohe Konzentration an Purin vorhanden. Nach dem Verzehr von Tieren, werden Purine im menschlichen Körper zu Harnsäure abgebaut. Uns Menschen fehlt (wie einigen Pflanzenfressern) aber ein Harnsäure abbauendes Enzym namens Uricase. Der Großteil an Harnsäure wird zwar mit dem Urin ausgeschieden, jedoch nicht alles. Die Folge des Innereiengenusses wie er vom Paleo-AIP vorgeschlagen wird, kann durch zu hohe Harnsäurekonzentration im Blut, unter Anderem Gicht sein. Die Tatsache das unser Körper keine Uricase bilden kann, dient einigen Ernährungswissenschaftlern zudem als Beweis, dass der Mensch eher ein Herbivore; also ein Pflanzenesser sei, da er sonst das Enzy, im Laufe der Evolution entwickelt haben müsste.

Quellen: 
- Zeittabelle der Erde: http://bit.ly/1IWXUdv  
- Buch: Ernährung des Menschen http://amzn.to/1KQ7eA4  
- Paleo-AIP (Urgeschmack) http://bit.ly/1MOAMO3  

# Wikipedia: 
— Purine#Stoffwechsel: http://bit.ly/1MOyEpq 
— Uricase: http://bit.ly/1MOyL4s 
— Paläozän: http://bit.ly/1IWYc40 
— Ramapithecus: http://bit.ly/1IWZ0G8","Unsinnigkeit der Paleodiät."
"xarachidon","Die Entzündungen werden durch die Bildung von Entzündungsfaktoren, den sogenannten Eicosanoiden (Thromboxan A2, Prostaglandin E2, Leukotrien B4) ausgelöst, die aus der Fettsäure Arachidonsäure gebildet werden. Je weniger Arachidonsäure mit der Nahrung zugeführt wird, desto weniger Entzündungsmediatoren können gebildet werden.

Quelle: http://www.ernaehrung.de/tipps/rheuma/rheuma11.php","Arachidonsäure"
"xglutenfrei","# GLUTENFREI ERNÄHREN #
Um zusätzlich noch glutenfrei (gf) zu essen kann ich dir alle Infos zum Thema Zölliakie empfehlen. In dem Falle solltest du vor allem auf Seitan- & Getreideprodukte verzichten. Seitan wird oft in der veganen Ernährung (in Fertigprodukten) Verwendet. Seitan ist reines Gluten. 

ACHTUNG: Die unten genannten Links sind nicht alle vegan. 
!! Bitte darauf achten !!

Allgemeine Google Suche: 
http://bit.ly/174y0mF || http://bit.ly/1BhDV0Y

Infoseiten:
http://de.wikipedia.org/wiki/Z%C3Dezember6liakie
https://www.dzg-online.de/glutenfreie-ernaehrung.7.0.html
http://www.ernaehrung.de/tipps/zoeliakie

Facbook:
https://www.facebook.com/groups/590429734324726
https://www.facebook.com/groups/veganerezepte
https://www.facebook.com/astoriamills
https://www.facebook.com/GFVegans
https://www.facebook.com/GlutenFreeVeganGirl

Youtube:
Allgemeine Suche nach vegan & glutenfrei:
https://www.youtube.com/results?search_query=glutenfrei+vegan

Glutenfreier Einkauf der Woche
https://www.youtube.com/watch?v=B2rXMhxz_Fc

So macht man Buchweizen-Nudeln Rezept glutenfrei und vegan
https://www.youtube.com/watch?v=kvevIUbswYQ

Rezept: Glutenfreies Powerbrot (100% vegan, 100% frei von Gluten)
https://www.youtube.com/watch?v=a-V2nGvydtY

Gesunde Pizza - Glutenfrei, Low Fat, Salzfrei & Vegan (Rezept)
https://www.youtube.com/watch?v=rMD8tKBO6dY

Veganer Braten (Low Fat, Glutenfrei, Ohne Soja, Vegan)
https://www.youtube.com/watch?v=dPQTxG4xuqg

Linsen-Reis-Braten ~ vegan, fettarm, glutenfrei
https://www.youtube.com/watch?v=QZbooDUWTmE","Glutenfrei"
"xveganbücher","Alle Bücher enthalten jeweils hunderte Quellverweise zu wissenschaftlichen Studien.

Titel: Ernährung des Menschen
Autor: Prof. Dr. rer. nat. Claus Leitzmann / Prof. Dr. Ebrahim Elmadfa
http://amzn.to/2rw2FHX

Titel: Vegetarische Ernährung
Autor: Prof. Dr. Claus Leitzmann / Markus Keller
http://amzn.to/2qr2ldB
 
Titel: How Not To Die (Deutsch)
Autor: Dr. med. Michael Greger:
http://amzn.to/2sctGN2

Titel: Dr. Jakobs Weg des genussvollen Verzichts
Autor: Dr. med. Ludwig Manfred Jacob: 
http://amzn.to/XQsP50

Titel: Gabel Statt Skalpell: 
Autor: Juliane Molitor
http://amzn.to/YXqdU1

Titel: Essen gegen Herzinfarkt: 
Autor: Dr. med. Caldwell B. Esseltyn
http://amzn.to/1uLEkHq

Titel: Die High-Carb-Diät: 
Autor: Dr. med. John McDougall / Mary McDougall
http://amzn.to/2qqLFCN

Titel: 80-10-10 Die High Carb Diät: 
Autor: Dr. med. Douglas Graham
http://amzn.to/2rbobi4

In all diesen Büchern sind auch immer viele einfache Rezepte drin. ","Vegan Bücher"
"xengveganstart","The most important documentary! You absolutely have to watch it:
Fat Sick And Nearly Dead - Joe Cross 
https://www.youtube.com/watch?v=V-WUP5psyuM

Other Documentaries

Forks Over Knives - T. Colin Campbell, Caldwell B. Esselstyn, Jr. M.D.
http://amzn.to/2tigwmR

What The Health - Garth Davis M.D., Neal Barnard M.D.
https://www.youtube.com/watch?v=hJAKWQ6dDpQ

Cowspiracy
https://www.youtube.com/watch?v=S-bQtRXo7-8

Earthlings
https://www.youtube.com/watch?v=BrlBSuuy50Y


Youtube Channels

John McDougall M.D.
https://www.youtube.com/user/drmcdougallmd

Michael Greger M.D.
https://www.youtube.com/user/NutritionFactsOrg
Website: http://nutritionfacts.org

Neal Bernard M.D.
https://www.youtube.com/results?search_query=Neal+Barnard

Garth Davis M.D.
https://www.youtube.com/results?search_query=Garth+Davis

Carldwell Esselstyn M.D.
https://www.youtube.com/results?search_query=Caldwell+Esselstyn

Michael Klaper M.D.
https://www.youtube.com/results?search_query=Michael+Klaper+MD

Mic The Vegan
https://www.youtube.com/channel/UCGJq0eQZoFSwgcqgxIE9MHw

VegSource
https://www.youtube.com/channel/UClEsPxvotpTJ1Z8eu2Y97rg


Books

How Not To Die - Michael Greger M.D.
http://amzn.to/2oJkvUY

The Starch Solution - John A. McDougall M.D.
http://amzn.to/2oKhCTF

The 80/10/10 Diet - Dr. Douglas N. Graham
http://amzn.to/2oJhcgh

The China Study - T. Collin Campbell M.D.
http://amzn.to/2oKsrW5

Reversing Diabetes - Neal Bernard M.D.
http://amzn.to/2oJn89i

Prevent And Reverse Heart Disease - Carldwell Esselstyn M.D.
http://amzn.to/2tkcCtG","Vegan Start in English"
